Gene	MembraneAssociated	Dis_Min	Dis_Median	Dis_Mean	Dis_SD	Dis_Max	Dis_NumOutliers	Dis_PercOutliers	Dis_OutliersTopName	Out_Min	Out_Median	Out_Mean	Out_SD	Out_Max	Out_NumOutliers	Out_PercOutliersTop	Out_OutliersTopName	Difference.in.Median	Wilcoxon_Pvalue	HPA.Median	HPA.Mean	HPA....NA.	Protein.Expression.....Low.	Protein.Expression.....Medium.	Protein.Expression.....High.	Potential.Expression.in.Vital.Tissue	Rank_Metric
CD3D	Y	0.98621	0.99002	0.991194	0.00450918839703994	0.99624	0	0%	NONE	0.08815	0.27647	0.26973075	0.0742632117318939	0.3973975	1	NA	GTEX.11DXW.0326.SM.5H11W_Adipose.Subcutaneous	0.71355	0.00112272815294471	0	0.276595744680851	17.5%	5	5	3	NA	2.10477654994814
CD2	Y	0.53674	0.944875	0.853459	0.18184800481446	0.96406	0	0%	NONE	0.09435	0.28678	0.231991	0.123035921263309	0.3851	1	NA	GTEX.11DXW.0326.SM.5H11W_Adipose.Subcutaneous	0.658095	0.00112272815294471	0	0.191489361702128	17.5%	4	4	1	NA	1.94119952860784
CD38	Y	0.53573	0.82504	0.77587	0.177801946699129	0.9579	0	0%	NONE	0.08815	0.1705475	0.2168475	0.138034094122712	0.366865	4	NA	GTEX.111FC.0226.SM.5N9B8_Adipose.Subcutaneous,GTEX.111VG.2326.SM.5N9BK_Adipose.Subcutaneous,GTEX.1122O.2026.SM.5NQ91_Adipose.Subcutaneous,GTEX.117YX.2226.SM.5EGJJ_Adipose.Subcutaneous	0.6544925	0.00112272815294471	0	0.382978723404255	17.5%	7	7	4	NA	1.9305731429009
CD247	Y	0.70877	0.80673	0.807177	0.0719530620960637	0.90635	0	0%	NONE	0.08815	0.168925	0.1751275	0.088833912169784	0.311725	0	NA	 	0.637805	0.00112272815294471	0	0.319148936170213	17.5%	6	5	4	NA	1.88134960050406
CD79A	Y	0.46968	0.68943	0.702117	0.186752617371216	0.95323	0	0%	NONE	0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.59884	0.00112272815294471	0	0.326086956521739	19.3%	6	5	4	NA	1.76641355079664
ITGAL	Y	0.409235	0.86781	0.770945	0.233365140605875	0.96294	0	0%	NONE	0.09435	0.26344	0.239113	0.158723619333874	0.59972	1	NA	GTEX.11DXW.0326.SM.5H11W_Adipose.Subcutaneous	0.60437	0.00168955450766876	0	0.297872340425532	17.5%	5	5	4	NA	1.67545131104049
CD48	Y	0.552935	0.80665	0.760943	0.141768417304419	0.90219	0	0%	NONE	0.09059	0.2500525	0.21276525	0.12275599574885	0.4655825	1	NA	GTEX.11DXW.0326.SM.5H11W_Adipose.Subcutaneous	0.5565975	0.00112272815294471	0	0.170212765957447	17.5%	5	3	0	NA	1.64180977613308
CCR9	Y	0.37204	0.63294	0.635721	0.219828364536972	0.93738	0	0%	NONE	0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.54235	0.00112272815294471	0	0.0851063829787234	17.5%	4	0	0	NA	1.59978356368072
CD27	Y	0.31485	0.538565	0.594949	0.233971065315778	0.87864	1	20%		0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.447975	0.00112272815294471	0	0.191489361702128	17.5%	5	4	0	NA	1.32140323027541
CD1C	Y	0.1376	0.513375	0.494361	0.270251907079303	0.87774	1	20%		0.09059	0.09435	0.142795	0.115044667750304	0.438395	1	NA	GTEX.1128S.2126.SM.5H12U_Adipose.Subcutaneous	0.419025	0.00366441432635462	NA	NaN	100%	NA	NA	NA	NA	1.02074298405609
CD28	Y	0.11846	0.77011	0.624536	0.365068086978306	0.97513	1	20%		0.09435	0.25087	0.204649	0.104721439643996	0.39896	1	NA	GTEX.11DXW.0326.SM.5H11W_Adipose.Subcutaneous	0.51924	0.0145314062543909	0	0.152173913043478	19.3%	5	2	0	NA	0.954203378664986
FUT4	Y	0.50396	0.57405	0.5685975	0.0504827862369937	0.6421	0	0%	NONE	0.246375	0.2772925	0.2752275	0.010778952549091	0.28204	0	NA	 	0.2967575	0.00112272815294471	0	0.170212765957447	17.5%	6	1	1	NA	0.875353131555232
CD83	Y	0.35453	0.664065	0.619534	0.154216052074679	0.73743	0	0%	NONE	0.09059	0.25547	0.260953	0.246252242406034	0.91445	1	NA	GTEX.11DXW.0326.SM.5H11W_Adipose.Subcutaneous	0.408595	0.00750625147342824	0	0.234042553191489	17.5%	6	5	0	NA	0.868091494371117
CR1	Y	0.11846	0.63506	0.52489	0.378436865011854	0.94387	2	40%	Sample2,Sample4	0.08815	0.1792775	0.179258	0.0939838746570685	0.27021	0	NA	 	0.4557825	0.0352668668888986	0	0.25531914893617	17.5%	6	6	0	NA	0.66208475564225
